input,target
"hyee","Hey"
"helo","Hello"
"hw r u","How are you?"
"i m fine","I am fine."
"i want go there","I want to go there."
"he dont like it","He doesn't like it."
"she dont know","She doesn't know."
"i no him","I know him."
"i am go to school","I am going to school."
"he is my frnd","He is my friend."
"dis is gud","This is good."
"u r best","You are the best."
"thnks for help","Thanks for the help."
"i need some hlp","I need some help."
"this sentnce is worng","This sentence is wrong."
"can u tel me","Can you tell me?"
"i want eat food","I want to eat food."
"he was go yesterday","He went yesterday."
"she did not came","She did not come."
"i am doing mistake","I am making a mistake."
"i will com later","I will come later."
"he dont has money","He doesn't have money."
"i am vry tired","I am very tired."
"oky i will do","Okay, I will do it."
"i didnt saw him","I didn't see him."
"she didnt told me","She didn't tell me."
"i am go for walk","I am going for a walk."
"this is not possble","This is not possible."
"i dont knw","I don't know."
"i will cal you later","I will call you later."
"wats your nam","What is your name?"
"wr are you going","Where are you going?"
"he is nt here","He is not here."
"i think its ok","I think it's okay."
"pls help me","Please help me."
"sry for late reply","Sorry for the late reply."
"i m busy now","I am busy now."
"he is in class now","He is in the class now."
"this prject is hard","This project is hard."
"i want learn coding","I want to learn coding."
"she is vry intelligent","She is very intelligent."
"i finish my wrk","I finished my work."
"he give me this","He gave me this."
"i eated food","I ate food."
"dont do like this","Don't do it like this."
"u helped me a lot","You helped me a lot."
"i reached home","I have reached home."
"they didnt invite me","They didn't invite me."
"the shop is clsed","The shop is closed."
"i m comming","I am coming."
"i will retorn soon","I will return soon."
"he speek english","He speaks English."
"i am lernng","I am learning."
"dont wory","Don't worry."
"i liked it vry much","I liked it very much."
"i need to go","I need to go."
"i will be late","I will be late."
"i am on the way","I am on the way."
"she is nt well","She is not well."
"he is vry fast","He is very fast."
"i am so hapy","I am so happy."
"this is importnt","This is important."
"clg starts tmrw","College starts tomorrow."
"pls call me back","Please call me back."
"i hv no idea","I have no idea."
"he is my bst frnd","He is my best friend."
"dont take tension","Don't take stress."
"u r so sweet","You are so sweet."
"i forgot it","I forgot it."
"she is good girl","She is a good girl."
"this is my phn","This is my phone."
"i will msg you","I will message you."
"can u plz explain","Can you please explain?"
"the cafe is clsed","The café is closed."
"i lost my phn","I lost my phone."
"she is too slow","She is very slow."
"this wrk is easy","This work is easy."
"i reached safely","I have reached safely."
"dont be sad","Don't be sad."
"i trust you","I trust you."
"u r right","You are right."
"tmrw i have test","I have a test tomorrow."
"i wrote the exam","I took the exam."
"shes my sister","She is my sister."
"its raining here","It is raining here."
"he run fast","He runs fast."
"she sing well","She sings well."
"i know everything","I know everything."
"u came late","You came late."
"this is awsm","This is awesome."
"i m going out","I am going out."
"u r amazing","You are amazing."
"he dont understand","He doesn't understand."
"i m getting ready","I am getting ready."
"i hv reached","I have reached."
"i am very bzy","I am very busy."
